,ALEXANDER,BARCLAY,COMPUTER,CRUSHER,DATA,GUINAN,K'EHLEYR,LAFORGE,LWAXANA,O'BRIEN,PICARD,PULASKI,Q,RIKER,RO,TASHA,TROI,VASH,WESLEY,WORF,lines,ep,season,title
K'EHLEYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,5,Redemption (part 2)
LAFORGE,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,3,99,5,Redemption (part 2)
LWAXANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,5,Redemption (part 2)
O'BRIEN,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,13,99,5,Redemption (part 2)
PICARD,0,0,0,2,17,18,0,4,0,18,6,0,0,10,0,0,2,0,0,1,60,99,5,Redemption (part 2)
PULASKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,5,Redemption (part 2)
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,5,Redemption (part 2)
RIKER,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,8,99,5,Redemption (part 2)
RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,5,Redemption (part 2)
TASHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,5,Redemption (part 2)
TROI,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,99,5,Redemption (part 2)
VASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,5,Redemption (part 2)
WESLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,5,Redemption (part 2)
WORF,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,99,5,Redemption (part 2)
ALEXANDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,5,Darmok
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,5,Darmok
COMPUTER,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,100,5,Darmok
CRUSHER,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,3,100,5,Darmok
DATA,0,0,1,1,0,0,0,1,0,0,8,0,0,38,0,0,2,0,0,5,31,100,5,Darmok
GUINAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,5,Darmok
K'EHLEYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,5,Darmok
LAFORGE,0,0,0,0,1,0,0,0,0,2,0,0,0,20,0,0,1,0,0,2,21,100,5,Darmok
LWAXANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,5,Darmok
O'BRIEN,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,8,100,5,Darmok
PICARD,0,0,0,0,8,0,0,0,0,0,4,0,0,12,0,0,3,0,0,2,50,100,5,Darmok
PULASKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,5,Darmok
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,5,Darmok
RIKER,0,0,0,1,38,0,0,20,0,1,12,0,0,4,0,0,5,0,0,40,74,100,5,Darmok
RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,5,Darmok
TASHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,5,Darmok
TROI,0,0,3,4,2,0,0,1,0,0,3,0,0,5,0,0,0,0,0,3,11,100,5,Darmok
VASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,5,Darmok
WESLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,5,Darmok
WORF,0,0,0,0,5,0,0,2,0,1,2,0,0,40,0,0,3,0,0,2,32,100,5,Darmok
ALEXANDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,5,Ensign Ro
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,5,Ensign Ro
COMPUTER,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,101,5,Ensign Ro
CRUSHER,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,101,5,Ensign Ro
DATA,0,0,1,1,0,0,0,0,0,0,10,0,0,1,3,0,1,0,0,2,11,101,5,Ensign Ro
GUINAN,0,0,0,0,0,2,0,5,0,0,6,0,0,0,41,0,0,0,0,0,28,101,5,Ensign Ro
K'EHLEYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,5,Ensign Ro
LAFORGE,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,101,5,Ensign Ro
LWAXANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,5,Ensign Ro
O'BRIEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,5,Ensign Ro
PICARD,0,0,0,2,10,6,0,0,0,0,6,0,0,24,67,0,2,0,0,8,102,101,5,Ensign Ro
PULASKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,5,Ensign Ro
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,5,Ensign Ro
RIKER,0,0,0,0,1,0,0,0,0,0,24,0,0,0,8,0,0,0,0,2,23,101,5,Ensign Ro
RO,0,0,0,0,3,41,0,1,0,0,67,0,0,8,2,0,1,0,0,4,72,101,5,Ensign Ro
TASHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,5,Ensign Ro
TROI,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,4,101,5,Ensign Ro
VASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,5,Ensign Ro
WESLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,5,Ensign Ro
WORF,0,0,1,0,2,0,0,0,0,0,8,0,0,2,4,0,2,0,0,0,11,101,5,Ensign Ro
ALEXANDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,5,Silicon Avatar
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,5,Silicon Avatar
COMPUTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,5,Silicon Avatar
